                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4374,                 3.4661,                 4.1231,                  0.004,                0.29268,                0.00457,                0.00171,                      0,                    inf,                      0,               0.070385,              0.0032906,              0.0032906
                      1,                 3.4154,                 3.2456,                 3.8906,                0.00636,                0.46545,                0.01525,                 0.0036,                      0,                    inf,                      0,               0.040319,              0.0065584,              0.0065584
                      2,                 3.0865,                 2.9731,                 3.5425,                0.04219,                0.11382,                0.01615,                0.00489,                      0,                    inf,                      0,               0.010187,              0.0097601,              0.0097601
                      3,                 2.6781,                 2.7504,                 3.1597,                0.05801,                0.09756,                0.01758,                0.00489,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 2.3805,                 2.5075,                 2.8123,                0.27341,                0.25392,                0.19288,                0.05979,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 2.2206,                 2.3369,                 2.6333,                0.27357,                0.25203,                0.18952,                 0.0594,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 2.1017,                  2.182,                 2.5036,                0.36902,                0.28659,                0.25669,                0.08106,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 2.0511,                 2.1487,                 2.4347,                0.35374,                0.35366,                0.28027,                0.09745,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.9884,                 2.0647,                 2.3637,                0.48059,                 0.3313,                0.32113,                0.10428,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.9591,                 2.0338,                 2.3432,                0.34029,                0.37805,                0.31148,                0.10551,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.9145,                 1.9349,                 2.2704,                0.59241,                0.31098,                 0.3566,                0.10365,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.8939,                 1.8924,                  2.241,                0.47377,                0.34553,                0.34921,                0.10387,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.9035,                  1.901,                 2.2203,                0.50896,                0.40854,                0.41873,                0.14443,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.8502,                 1.8743,                 2.2124,                0.48412,                0.36789,                0.37045,                0.11669,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.8313,                 1.8283,                 2.1859,                0.52776,                0.44309,                0.44572,                0.17141,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.8223,                 1.8172,                 2.1623,                0.48546,                0.43723,                0.40376,                0.13139,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.8015,                 1.7641,                 2.1421,                0.49764,                0.45122,                0.41622,                0.14642,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.7815,                 1.7497,                 2.1288,                0.60171,                0.43293,                0.46678,                0.16177,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.7544,                 1.6958,                 2.0796,                0.56104,                0.44715,                0.46968,                0.17103,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.7406,                 1.6771,                 2.0931,                0.61415,                0.42683,                0.47259,                0.17778,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.7259,                 1.6437,                 2.0796,                 0.5729,                0.48171,                0.49981,                0.19332,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.7233,                 1.6122,                 2.0484,                0.55846,                0.51929,                0.48705,                0.16822,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.6963,                 1.5692,                 2.0433,                 0.6604,                0.44309,                0.48347,                 0.1871,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.6801,                  1.553,                 2.0276,                0.58916,                0.44715,                0.48879,                0.17058,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.6659,                 1.5326,                 2.0284,                 0.5759,                0.50203,                0.51828,                0.19578,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.6618,                 1.5388,                 2.0264,                0.54645,                0.56707,                0.52591,                0.19607,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.6414,                 1.5021,                 2.0066,                0.58916,                0.51016,                0.52016,                0.20628,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.6254,                 1.4659,                 1.9812,                0.51472,                0.54878,                0.51579,                0.19244,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                  1.616,                 1.4657,                  1.981,                0.63757,                0.47554,                0.53062,                0.19794,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                  1.618,                 1.4408,                  1.983,                0.61114,                0.48555,                0.52203,                 0.1884,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.6043,                 1.4132,                 1.9591,                0.57726,                0.51624,                 0.5383,                0.21503,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.5972,                 1.4051,                 1.9579,                0.63901,                0.45935,                 0.5276,                0.20912,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.5787,                 1.3726,                 1.9515,                0.62939,                 0.5061,                0.55353,                0.21144,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.5751,                 1.3625,                 1.9358,                0.60625,                0.48819,                0.52006,                0.19913,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.5644,                 1.3442,                  1.905,                0.58773,                0.48171,                0.50679,                0.17979,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.5334,                 1.3209,                 1.9044,                0.59131,                0.51423,                0.53384,                0.20479,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.5315,                 1.2929,                 1.8947,                0.62515,                0.48577,                0.51683,                0.20006,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.5225,                 1.2828,                 1.8887,                0.63807,                0.52439,                0.55095,                0.21677,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
